number,value,datetime_start,datetime_complete,duration,params_attention_reg_weight,params_attn_heads,params_dropout,params_hidden_dim,params_kernel_size,params_low_rank_dim,params_lr,params_num_scales,params_temp_conv_out_channels,params_weight_decay,user_attrs_best_efficiency,user_attrs_best_pcc,user_attrs_best_pcc_epoch,user_attrs_best_rmse,user_attrs_best_rmse_epoch,user_attrs_epochs_trained,user_attrs_final_pcc,user_attrs_final_rmse,user_attrs_param_count,user_attrs_test_pcc,user_attrs_test_rmse,state
45,475.58144287304935,2025-04-03 19:43:53.935760,2025-04-03 19:44:14.445529,0 days 00:00:20.509769,1e-06,16,0.36834279491343525,24,7,4,0.0005,2,12,0.0,475.58144287304935,0.8662015815661512,57.0,950.6666259765625,57.0,101.0,0.8438357545015691,1021.169921875,19661,0.8958899149243644,1084.922607421875,COMPLETE
46,539.0045690225428,2025-04-03 19:44:14.446736,2025-04-03 19:45:02.327113,0 days 00:00:47.880377,1e-06,16,0.3447073059749725,24,3,4,0.001,4,12,0.001,539.0045690225428,0.8309009140256397,96.0,1077.4947509765625,74.0,101.0,0.8116526384486042,1119.5467529296875,18651,0.8848315457901819,1093.1153564453125,COMPLETE
47,492.20290284892246,2025-04-03 19:45:02.328684,2025-04-03 19:46:01.902474,0 days 00:00:59.573790,1e-06,16,0.3685974571213247,24,7,4,0.0005,5,12,1e-05,492.20290284892246,0.8569831633579449,63.0,983.8831787109375,59.0,101.0,0.836320114755773,1041.298828125,31976,0.884621406092979,1117.0345458984375,COMPLETE
48,484.81803323513566,2025-04-03 19:46:01.903783,2025-04-03 19:46:41.265981,0 days 00:00:39.362198,1e-06,16,0.35629371093151013,24,9,4,0.0005,3,12,0.0,484.81803323513566,0.8600967044874039,93.0,969.1226196289062,93.0,101.0,0.8562878662496414,982.1958618164062,27224,0.881766445690329,1091.2999267578125,COMPLETE
49,802.7003276018597,2025-04-03 19:46:41.267392,2025-04-03 19:47:03.407070,0 days 00:00:22.139678,1e-06,16,0.39413159983174145,24,7,4,5e-05,2,12,0.0005,802.7003276018597,0.5705943069495787,102.0,1604.756591796875,102.0,102.0,0.5705943069495787,1604.756591796875,19661,0.4692517429394232,1835.0107421875,COMPLETE
50,508.24774290917753,2025-04-03 19:47:03.410737,2025-04-03 19:47:24.929526,0 days 00:00:21.518789,1e-05,16,0.37732720011168286,24,5,4,0.0005,2,12,0.0,508.24774290917753,0.8512980525162055,96.0,1015.9971923828125,96.0,102.0,0.8473146402939371,1018.3136596679688,17355,0.8698014902782435,1083.000732421875,COMPLETE
51,478.21730279129594,2025-04-03 19:47:24.930832,2025-04-03 19:47:46.796256,0 days 00:00:21.865424,0.0001,16,0.41159546137824643,24,7,4,0.0005,2,12,0.0,478.21730279129594,0.865228783206302,66.0,955.9378051757812,74.0,102.0,0.833274493149089,1054.984130859375,19661,0.8860022181258556,1070.073486328125,COMPLETE
52,479.64407032843525,2025-04-03 19:47:46.797480,2025-04-03 19:48:10.323750,0 days 00:00:23.526270,0.0001,16,0.32496392608216756,24,7,4,0.0005,2,12,0.0,479.64407032843525,0.8638842344408726,64.0,958.7906494140625,57.0,101.0,0.8418982083243549,1025.9580078125,19661,0.897329447421468,1090.848388671875,COMPLETE
53,475.3651520351149,2025-04-03 19:48:10.325024,2025-04-03 19:48:31.367427,0 days 00:00:21.042403,0.0001,16,0.42209492153024175,24,7,4,0.0005,2,12,0.0,475.3651520351149,0.8667409098665588,59.0,950.2343139648438,59.0,102.0,0.8336536835578926,1051.6900634765625,19661,0.8926483372765973,1074.3621826171875,COMPLETE
54,475.36060562759036,2025-04-03 19:48:31.368699,2025-04-03 19:48:52.116785,0 days 00:00:20.748086,0.0001,16,0.4268768759140255,24,7,4,0.0005,2,12,0.0001,475.36060562759036,0.8669587325733026,65.0,950.2250366210938,57.0,102.0,0.8413947685327231,1026.6361083984375,19661,0.8944192776984953,1080.9786376953125,COMPLETE
55,509.9975032216592,2025-04-03 19:48:52.118073,2025-04-03 19:49:28.223274,0 days 00:00:36.105201,0.0001,16,0.4267740985968249,24,3,6,0.001,3,8,0.0001,509.9975032216592,0.844025962172055,95.0,1019.4873046875,90.0,101.0,0.8263475656572714,1075.4754638671875,19724,0.8885149122208233,1126.148193359375,COMPLETE
