model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak,ablation
MSTAGAT-Net,20260115_000311,nhs_timeseries,20,7,11.447065353393556,5.4926434,14.755724297239116,13.351363,0.9702239,0.9547052,4.9575156e-08,0.8659989833831787,0.7480626,0.9282735586166382,0.9062398,3.891772747039795,no_mtfm
MSTAGAT-Net,20260115_000838,nhs_timeseries,20,7,10.724076271057127,7.5469174,14.817296535175643,12.61299,0.9319266,0.96130437,2.9741642e-08,0.8648783564567566,0.79785,0.8683956861495972,0.91602784,11.20188045501709,no_pprm
MSTAGAT-Net,20260114_235904,nhs_timeseries,20,7,14.853496551513672,7.35916,18.112622895491885,16.514772,0.9489672,0.9586206,6.489842e-08,0.7980937957763672,0.6003057,0.9005180597305298,0.89275086,7.850430965423584,none
MSTAGAT-Net,20260115_001450,nhs_timeseries,20,14,11.533086776733398,4.132415,15.64192247677795,14.760847,0.92223895,0.9033628,3.964743e-08,0.8494200110435486,0.7000039,0.8499708771705627,0.7623977,16.984094619750977,no_agam
MSTAGAT-Net,20260115_001533,nhs_timeseries,20,14,15.08250617980957,8.169756,22.941574857310773,20.078714,0.9498214,0.9143036,4.9258812e-08,0.6760832071304321,0.4435698,0.76875901222229,0.6856256,3.055837869644165,no_mtfm
MSTAGAT-Net,20260115_001940,nhs_timeseries,20,14,14.047879219055176,11.909158,20.68866240125555,16.92323,0.8847439,0.926822,3.312255e-08,0.736578106880188,0.62401855,0.7827629446983337,0.8117238,17.472801208496094,no_pprm
MSTAGAT-Net,20260115_001158,nhs_timeseries,20,14,14.710100173950195,6.577267,21.775692552311916,19.90512,0.9386714,0.9127068,4.566315e-08,0.7081693410873413,0.4526104,0.7639334797859192,0.6248087,2.9598851203918457,none
MSTAGAT-Net,20260114_220533,region785,20,3,341.0751037597656,239.44176,692.5912620369968,563.4076,0.8997627,0.85475475,3.3699596e-08,0.7638078331947327,0.6695601,0.7900446653366089,0.722824,500.584716796875,no_agam
MSTAGAT-Net,20260114_220604,region785,20,3,335.0707092285156,219.01523,689.6989605980278,571.86224,0.9099773,0.8515152,4.206522e-08,0.7657763957977295,0.6317669,0.7931439876556396,0.7055239,490.5440673828125,no_mtfm
MSTAGAT-Net,20260114_220841,region785,20,3,435.9614562988281,294.85504,754.6625073501399,622.10706,0.8588495,0.7987104,5.7679415e-08,0.7195748090744019,0.5654197,0.7369526028633118,0.62371427,581.2341918945312,no_pprm
