wis,wis_dispersion,wis_overprediction,wis_underprediction,cov50,cov90,cov95,model,dataset,horizon,seed,ablation,variant,split,n_test
62.632257922493515,33.35140487587888,17.40467654859821,7.924641182933183,0.5439342403628118,0.9143990929705216,0.9603174603174603,MSAGAT-Net,state360,15,123,none,with_adj.loggrowth.quant,test,72
66.50386524365189,33.031770441324404,18.757633352816182,10.467393638306287,0.4906462585034014,0.8976757369614512,0.9481292517006803,MSAGAT-Net,state360,15,30,none,with_adj.loggrowth.quant,test,72
65.82175828856731,32.33186103152279,18.823452642891734,10.345390129615883,0.4846938775510204,0.9058956916099773,0.9560657596371882,MSAGAT-Net,state360,15,42,none,with_adj.loggrowth.quant,test,72
65.32903142188037,29.69008672587523,20.615010232996752,10.760076167535164,0.47534013605442177,0.8917233560090703,0.9452947845804989,MSAGAT-Net,state360,15,45,none,with_adj.loggrowth.quant,test,72
38.421390250756545,14.315728669115662,16.062843847936467,5.5355559734448185,0.45549886621315194,0.8922902494331065,0.9532312925170068,MSAGAT-Net,state360,3,1000,none,with_adj.loggrowth.quant,test,72
39.46269207548222,16.757659293840877,14.87008814945895,5.303762080584371,0.48356009070294786,0.907312925170068,0.9589002267573696,MSAGAT-Net,state360,3,123,none,with_adj.loggrowth.quant,test,72
39.0460462380231,15.057456376679452,16.469756224935406,5.003531440416702,0.477891156462585,0.8988095238095238,0.9546485260770975,MSAGAT-Net,state360,3,30,none,with_adj.loggrowth.quant,test,72
38.09016707509606,15.37549069979032,13.955401750864874,6.301066594720063,0.4387755102040816,0.8809523809523809,0.9478458049886621,MSAGAT-Net,state360,3,42,none,with_adj.loggrowth.quant,test,72
39.010958854310275,14.998399917818553,16.75892589262201,4.723194871838601,0.4523809523809524,0.8934240362811792,0.9526643990929705,MSAGAT-Net,state360,3,45,none,with_adj.loggrowth.quant,test,72
47.23248537781135,18.952047750735517,18.997790677866487,6.230279331073938,0.47392290249433106,0.8968253968253969,0.9549319727891157,MSAGAT-Net,state360,5,1000,none,with_adj.loggrowth.quant,test,72
46.07221363031707,20.597585569451187,17.87064960213305,4.683073692064155,0.5022675736961452,0.9160997732426304,0.9654195011337868,MSAGAT-Net,state360,5,123,none,with_adj.loggrowth.quant,test,72
47.79877260889776,23.121798875691866,12.334310589910412,9.370464464967435,0.4560657596371882,0.9044784580498866,0.9574829931972789,MSAGAT-Net,state360,5,30,none,with_adj.loggrowth.quant,test,72
46.81946933491468,19.424079225456573,17.815540098669754,6.610180250891188,0.47307256235827666,0.8925736961451247,0.9549319727891157,MSAGAT-Net,state360,5,42,none,with_adj.loggrowth.quant,test,72
47.087819583638,19.69811881144774,18.050814492773238,6.376109461396577,0.5017006802721088,0.8937074829931972,0.9526643990929705,MSAGAT-Net,state360,5,45,none,with_adj.loggrowth.quant,test,72
