dataset,horizon,seed,method,wis,wis_dispersion,wis_overprediction,wis_underprediction,cov50,cov90,cov95
japan,15,42,identity,573.8192086880848,421.0226628621879,97.05138474272597,24.592766757953175,0.5930091185410334,0.9468085106382979,0.9768996960486322
japan,15,42,adjacency,573.65005794458,422.8107553424088,96.31503276563281,23.309857146322802,0.5844984802431611,0.947112462006079,0.9790273556231003
japan,15,42,uniform,573.6126110107429,421.7848643089581,96.98964779528696,23.64092254496415,0.5814589665653496,0.9486322188449848,0.9790273556231003
japan,15,42,attention,573.6028494318792,421.72948609685574,96.97457135451174,23.703772415933006,0.5808510638297872,0.948936170212766,0.9790273556231003
japan,15,45,raw,746.6729695979858,532.0479315279343,72.59160545290233,103.0034199507293,0.5957446808510638,0.9297872340425531,0.9632218844984802
japan,15,45,identity,748.0707009303491,524.027113388691,73.66011501855984,111.241473250903,0.5948328267477203,0.9328267477203648,0.9683890577507599
japan,15,45,adjacency,747.702921062199,525.5232665043677,73.39642385111722,109.68339000944891,0.6009118541033435,0.9337386018237082,0.9671732522796352
japan,15,45,uniform,747.7419791881259,525.0925157678003,73.66176480350869,109.88185186670937,0.6003039513677811,0.9346504559270516,0.9677811550151976
japan,15,45,attention,747.8269207658982,524.7683882865324,73.69988874255927,110.24932917637067,0.6009118541033435,0.9349544072948328,0.9674772036474164
japan,3,1000,raw,307.95788117926446,116.67044708556408,148.85461182961836,21.96289369697156,0.4848024316109423,0.9109422492401216,0.9586626139817629
japan,3,1000,identity,307.96387329827724,116.62689856408484,148.88029243039284,21.987854188345878,0.49148936170212765,0.9075987841945289,0.9553191489361702
japan,3,1000,adjacency,307.9596239793752,116.6937141730477,148.84562218874692,21.9513907426743,0.49027355623100305,0.9127659574468086,0.9610942249240122
japan,3,1000,uniform,307.9628085756442,116.64522448174672,148.87470867510623,21.97322760473962,0.4878419452887538,0.9118541033434651,0.960790273556231
japan,3,123,raw,339.1471311820679,148.0019366749075,106.18486251003664,62.967106948592665,0.45045592705167176,0.9045592705167174,0.9613981762917934
japan,3,123,identity,339.1005917153832,147.888009343219,106.19134986642426,63.029798904442956,0.4668693009118541,0.9006079027355623,0.958966565349544
japan,3,123,adjacency,339.10457991172893,147.9314700760402,106.19168020223425,62.989737400531894,0.46170212765957447,0.9009118541033435,0.9620060790273556
japan,3,123,uniform,339.1264531216943,147.96596615398448,106.1907868824784,62.976964546299136,0.4641337386018237,0.9036474164133739,0.9626139817629179
japan,3,30,raw,270.6782156846597,116.72284056160419,95.61746103089317,39.97144669670874,0.43343465045592705,0.8820668693009118,0.9419452887537993
japan,3,30,identity,270.6662219453495,116.89014363595093,95.52077104242503,39.89013097211393,0.4787234042553192,0.9018237082066869,0.9541033434650456
japan,3,30,adjacency,270.6551237422194,116.92221167327864,95.50944351379601,39.8582307685551,0.478419452887538,0.9048632218844985,0.9574468085106383
japan,3,30,uniform,270.66984265317836,116.89127825525247,95.5367056559127,39.875576879768026,0.478419452887538,0.9051671732522797,0.9583586626139817
japan,3,30,attention,270.6696358230713,116.89140122664982,95.53625424005435,39.87569257235675,0.4787234042553192,0.9060790273556231,0.9583586626139817
japan,3,42,raw,283.0000953027411,121.57402535328269,119.55535265957803,23.138475046413678,0.45987841945288754,0.8957446808510638,0.9531914893617022
japan,3,42,identity,282.98062050622303,121.67924461284748,119.49854844035382,23.07117605831627,0.49422492401215806,0.9030395136778115,0.9592705167173252
japan,3,42,adjacency,282.97855570520807,121.6774040242846,119.50516205299196,23.064224705986604,0.4939209726443769,0.9051671732522797,0.9617021276595744
japan,3,42,uniform,282.98963757499155,121.7005947718383,119.49700729858927,23.059964457186176,0.4927051671732523,0.9051671732522797,0.9610942249240122
japan,3,42,attention,282.9891253334018,121.69880353747998,119.49772813410586,23.060528843571742,0.49361702127659574,0.9057750759878419,0.960790273556231
