model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
EpiSIG-Net,state360,20,5,none,30,True,20260202_234124,89.4463882446289,103.33616638183594,210.6222551749933,138.37820434570312,0.8853603601455688,0.6756853461265564,0.0029363478533923,0.775458574295044,-0.4684752225875854,0.7755289077758789,-0.0806916132569313,160.8594207763672
MSTAGAT-Net,state360,20,5,none,42,True,20260209_093451,83.3223876953125,94.39208984375,196.6931600710864,125.16839599609376,0.90706467628479,0.7455040216445923,0.0055091599933803,0.8196827173233032,0.2476279735565185,0.8196832537651062,0.4929346442222595,150.16380310058594
MSTAGAT-Net,state360,20,5,none,45,False,20260127_030003,78.61204528808594,84.16510009765625,181.4862899436208,123.46087646484376,0.9129321575164796,0.7443150281906128,0.0017147517064586,0.8332846164703369,-0.6170408725738525,0.8333828449249268,-0.0853899121284484,132.5560760498047
EpiSIG-Net,state360,20,5,none,45,True,20260202_234640,88.48856353759766,112.41687774658205,231.92129760168643,141.5309600830078,0.8661813735961914,0.6465582847595215,0.0024440269917249,0.7277491092681885,-0.0672966986894607,0.7280061841011047,0.1249537244439125,167.03085327148438
EpiSIG-Net,state360,20,5,none,100,True,20260202_234849,87.99920654296875,102.39485168457033,214.06000910959528,138.88296508789062,0.8836988210678101,0.6760591268539429,0.002590341027826,0.7680688500404358,-0.2572798430919647,0.7684314250946045,0.0022755970712751,158.94285583496094
MSTAGAT-Net,state360,20,5,none,123,False,20260127_030033,92.79873657226562,109.49933624267578,215.53226266617256,140.91036987304688,0.8798558712005615,0.6316301226615906,0.003051531035453,0.7648675441741943,-1.1303696632385254,0.7655268907546997,-0.5344423055648804,160.9551239013672
EpiSIG-Net,state360,20,5,none,123,True,20260202_235053,86.5406494140625,100.34815216064452,216.6955489563641,138.0634002685547,0.8777835965156555,0.6307521462440491,0.0029802729841321,0.7623225450515747,-0.1206130310893058,0.762485146522522,0.100975900888443,159.58935546875
EpiSIG-Net,state360,20,5,none,500,True,20260202_235308,84.94511413574219,100.52764892578124,218.1384487258035,137.33480834960938,0.8800807595252991,0.6473259329795837,0.0018683427479118,0.7591468095779419,-0.0657799988985061,0.7593719363212585,0.0654086321592331,157.9861602783203
MSTAGAT-Net,state360,20,5,none,1000,False,20260127_030105,88.20964050292969,104.96756744384766,208.5619100231392,135.44618225097656,0.8841364979743958,0.6495758891105652,0.0027898664120584,0.7798300981521606,-0.4652086496353149,0.7799217104911804,-0.1675775647163391,160.3940887451172
EpiSIG-Net,state360,20,5,none,1000,True,20260202_235539,98.0682601928711,112.51836395263672,236.41389817436703,153.2960662841797,0.8638654947280884,0.6298877596855164,0.0038369880057871,0.7170993089675903,-0.6717228889465332,0.718932032585144,-0.2310630828142166,176.45799255371094
