model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak,sim_mat
MSAGAT-Net,ltla_timeseries,20,7,none,5,False,20260410_161525,44.80131149291992,34.39228439331055,82.4145390692686,64.35113525390625,0.8427929878234863,0.717017412185669,,0.7013146877288818,0.4725577235221863,0.7070026993751526,0.5089390873908997,49.65605926513672,default
MSTAGAT-Net,ltla_timeseries,20,7,none,5,True,20260209_081435,45.00276565551758,36.12166213989258,86.46587567503148,66.31130981445312,0.8388108611106873,0.7348377108573914,3.873431708711905e-08,0.6712273359298706,0.4417037665843963,0.6853975057601929,0.5177612900733948,49.81982421875,default
EpiSIG-Net-V3,ltla_timeseries,20,7,none,6,True,20260204_173522,70.69486236572266,51.47376251220703,146.3329358859447,116.81634521484376,0.75479656457901,0.6365605592727661,3.85581948592062e-08,0.5460155010223389,0.3347818851470947,0.5687800645828247,0.4034769237041473,75.58683013916016,default
EpiSIG-Net-V3,ltla_timeseries,20,7,none,7,True,20260204_175012,71.00951385498047,51.84124374389648,147.36684932931828,117.64146423339844,0.7522796392440796,0.633394718170166,3.830381345437672e-08,0.5395776033401489,0.324950248003006,0.5645447969436646,0.3998799920082092,75.9130859375,default
EpiSIG-Net-V3,ltla_timeseries,20,7,none,8,True,20260204_175745,73.1087875366211,53.39525985717773,149.4857003508195,119.27037048339844,0.7428361177444458,0.6224604249000549,3.937141457299732e-08,0.5262424349784851,0.3111878633499145,0.5517019033432007,0.3812980353832245,78.28982543945312,default
EpiSIG-Net-V3,ltla_timeseries,20,7,none,9,True,20260204_180856,70.10588073730469,51.36862564086914,146.09844578014852,116.46045684814452,0.7556166648864746,0.639482319355011,3.7768668192939003e-08,0.5474693179130554,0.3387688994407654,0.5702039003372192,0.4073184430599212,74.95642852783203,default
EpiSIG-Net-V3,ltla_timeseries,20,7,none,10,True,20260204_181854,72.62944030761719,53.2162971496582,150.08344033403552,120.02658081054688,0.7559338808059692,0.6369028687477112,3.7132732444433714e-08,0.5224460363388062,0.2933425605297088,0.5639208555221558,0.4065642952919006,77.88798522949219,default
MSTAGAT-Net,ltla_timeseries,20,7,none,30,False,20260127_043044,81.37653350830078,58.94930267333984,160.64923820041912,128.42001342773438,0.7320619225502014,0.6616237759590149,5.687761728268016e-08,0.4528401494026184,0.175260916352272,0.4992690086364746,0.366681158542633,84.3160171508789,default
MSAGAT-Net.pprm-multistep,ltla_timeseries,20,7,none,30,True,20260811_031000,45.67176055908203,38.17667388916016,88.55851371586189,67.0508041381836,0.837784469127655,0.751452624797821,,0.6551209092140198,0.4384910762310028,0.6810331344604492,0.5423467755317688,51.105953216552734,default
MSAGAT-Net.sgate,ltla_timeseries,20,7,none,30,True,20260811_033246,45.905052185058594,38.656681060791016,89.12848706800341,67.28948974609375,0.8384679555892944,0.7602514624595642,,0.6506672501564026,0.4340536594390869,0.6783649921417236,0.5489640235900879,51.4291877746582,default
MSAGAT-Net.pprm-multistep.sgate,ltla_timeseries,20,7,none,30,True,20260811_035626,45.78179550170898,38.3744010925293,88.92923143221806,67.32870483398438,0.8364691734313965,0.7502309083938599,,0.6522274613380432,0.4334965348243713,0.678894579410553,0.5375373363494873,51.34455490112305,default
MSAGAT-Net.loggrowth,ltla_timeseries,20,7,none,30,True,20260811_051834,45.013328552246094,38.77774810791016,89.59148006803576,66.39967346191406,0.8406450152397156,0.7632434964179993,,0.6470285058021545,0.4626115262508392,0.6758278012275696,0.556576669216156,50.36063766479492,default
